project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,1,1.0,false,11,1,0.003337730402180565,0,PACKAGE,.,.,com.pump.graphics.geom,geom,5165,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2,false,PACKAGE,0,0,0.0,false,760,5,0.003337730402180565,0,PACKAGE,.,.,com.jhlabs.image,image,5183,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.2222222222222222,false,PACKAGE,1,4,0.6,false,831,18,0.004093204202384849,0,PACKAGE,.,.,com.pump.image.gif.block,block,11337,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,4,3,0.5833333333333334,false,316,5,0.01183215378898417,0,PACKAGE,.,.,com.pump.image.bmp,bmp,13413,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.5,false,PACKAGE,1,4,1.0,false,429,3,0.003692365453034498,0,PACKAGE,.,.,com.pump.image.thumbnail,thumbnail,13429,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,1,0,0.0,false,450,4,0.004207538054434078,0,PACKAGE,.,.,com.pump.image.gif.lzw,lzw,1146,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.16666666666666666,false,PACKAGE,4,3,0.5,false,976,12,0.007322299808543818,0,PACKAGE,.,.,com.pump.audio,audio,5246,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,3,0,1.0,false,0,1,0.023293406670138322,0,PACKAGE,.,.,javax,javax,13438,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,4,0,0.0,false,461,2,0.011868166647171555,0,PACKAGE,.,.,javax.media.jai,jai,1192,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,0,1,1.0,false,217,2,0.003337730402180565,0,PACKAGE,.,.,com.pump.text.html.style,style,7357,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.0,false,PACKAGE,7,1,0.08333333333333333,false,870,15,0.02480723606448963,0,PACKAGE,.,.,com.pump.math,math,1218,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.18181818181818182,false,PACKAGE,6,5,0.04838709677419355,false,950,25,0.015022916926030966,0,PACKAGE,.,.,com.pump.text.html.css,css,7365,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.125,false,PACKAGE,3,10,0.9210526315789473,false,2004,16,0.006643196408351131,0,PACKAGE,.,.,com.pump.text.html.view,view,7373,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.4,false,PACKAGE,0,3,1.0,false,407,5,0.003337730402180565,0,PACKAGE,.,.,com.pump.swing.popover,popover,7382,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.3333333333333333,false,PACKAGE,7,5,0.24,false,906,5,0.010558757181089295,0,PACKAGE,.,.,com.pump.graphics,graphics,5416,container
pumpernickel,aa275b4336dbcca60ec26960d59ff0875bddce05,1,2023-07-12T05:12:04.000,0.25,false,PACKAGE,4,1,0.16666666666666666,false,204,4,0.008552292818660651,0,PACKAGE,.,.,com.pump.math.function,function,1349,container
